objectid,parentid,title,work_type,creator,vocabularies_creator,date_created,dimensions,location,vocabularies_location,provenance,citation,subject,vocabularies_subject,description,related_paintings,display_template,object_location,image_small,image_thumb,image_alt_text
w_0011,,Rest on Flight,oil painting (AAT 300178684),"Bordone, Paris (Italian, 1500-1570)",ULAN,1527-1530,131 x 235 cm (61 x 92 1/2 inches),"Spencer-Churchill, Northwick Park (Gloucestershire, England)",TGN,"James Cozenove Sale, Christie's, May 18, 1833 lot 105. Spencer-Churchill, Northwick Park. Christie Sale, May 28, 1965 lot 27. March 14, 1975 lot 110. Authorities: Northwick Park (inhabited place), http://vocab.getty.edu/page/tgn/5000804, Christie's (general entity), http://vocab.getty.edu/page/ulan/500301723","G. Canova, pp. 13-14, 109. as ca. 1527-30. repr. ANTOLOGIA di BELLE ARTI, n. 3, Sept. 1977 (advs.)",Angels (spirits); Jesus Christ--Art; Italian Renaissance-Baroque styles; Christian Art and Symbolism,AAT; LCSH,"A group of figures reposes in a garden. The central figure holds a baby. A bearded figure rests against a stump. A bag tied to a long stick sits next to him. In the right of the frame, three cherubs climb a tree; one picks fruit and hands it to the woman with a baby, and one holds up a bowl of fruit. A youth holds a water jug beneath the cherub.",https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0013.html; https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0018.html; https://info663-fa24.github.io/team1/items/w_0008.html,compound_object,,,,
w_0012,,Rest on Flight,oil painting (AAT 300178684),"Bordone, Paris (Italian, 1500-1570)",ULAN,ca. 1550,48 7/10 x 68 4/5 cm,"Collection of Count Antoine Seilern, London (Greater London, England)",TGN,"Count Adam Potocki, Cracow. Authorities: Cracow (inhabited place), http://vocab.getty.edu/page/tgn/7007652.","Canova, p. 105 fig. 109 as ca. 1550","Mary, Blessed Virgin, Saint--Art; Jesus Christ--Art; Italian Renaissance-Baroque styles; Christian Art and Symbolism",AAT; LCSH,"The figures of a woman a man hold a baby betweem; the child reaches out to the man's beard. Suggests the Virgin Mary, Joseph, and the Christ child on their flight from Egypt. On the left hand side, a donkey stands.",https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0013.html; https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0018.html,compound_object,,,,
w_0013,,Holy Family & Infant St. John,oil painting (AAT 300178684),"Bordone, Paris (Italian, 1500-1570)",ULAN,16th century,39.75 x 54.75 cm,"Stirling Collection, Keir (Dunblane, Scotland)",TGN,"Lord Ranelagh, 1829. Stirling Coll., Keir. Stirling Sale, Sotheby, July 3, 1963 lot 44. Christie Sale, Dec. 10, 1982 lot 60. Casa Venier, Venice. Sir Phillip Stephens, Christie Sale, May 17, 1810 lot 77.                                                                                                                                                                                                                  
                                                                                                                                                                                                                                        Authorities: Sotheby's (International auction house, founded 1744 in London), http://vocab.getty.edu/page/ulan/500304344.                                 Christie's (general entity), http://vocab.getty.edu/page/ulan/500301723.                                                                                                     Philip Stephens, Sir (1725-1809), http://viaf.org/viaf/61462501.                                                                                                                Ranelagh, Thomas Heron Jones, Viscount, 1812-1885, http://viaf.org/viaf/11403420.                                                                                  Venice (inhabited place), http://vocab.getty.edu/page/tgn/7018159.","G. Canova, p. 81","Lambs; Jesus Christ--Art; Mary, Blessed Virgin, Saint--Art; Christian Art and Symbolism",AAT; LCSH,"The Virgin Mary, wearing a long gown with a scarf around her head and a halo behind, reclines, holding an open book in her left hand. On the left are the Christ child and St. John. St. John holds a banner reading ""Ecce Agnus Dei"" in his left hand, and embraces Christ with his right. Beneath them lies a lamb. The figure of a man and donkey trail behind.",https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0018.html,compound_object,,,,
w_0014,,The Madonna & Child & St. John,oil painting (AAT 300178684),"Bassano, Jacopo (Italian, 1510-1592)",ULAN,16th century,77 x 88 cm (29 x 33 1/4 inches),"Collection of Archibald Werner, Edenbridge (Kent, England)",TGN,"Lord Carlisle, Castle Howard. Hon. Geoffrey W. A. Howard, 1944. Edenbridge (Kent), Archibald Werner. Sotheby Sale, March 27, 1968, lot 27.                             
                                                                                                                                                                                                                     Authorities: Sotheby's (International auction house, founded 1744 in London), http://vocab.getty.edu/page/ulan/500304344.                                     Castle Howard (York):  http://viaf.org/viaf/230253594.                                                                                                                                        Edenbridge (inhabited place), http://vocab.getty.edu/page/tgn/7011515.",Venice 1957 n. 52,"John, the Baptist, Saint--Art; Jesus Christ--Art; Mary, Blessed Virgin, Saint--Art; Christian Art and Symbolism",LCSH,"The Virgin Mary holds the Christ child in her right arm, while putting her left arm around young St. John, who looks up at her and holds a long-stemmed cross in his left hand. Both mother and child look down at St. John. The background features draped fabric and a columns, one in back inscribed with the artist's signature.",https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0013.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0018.html,compound_object,,,,
w_0015,,Madonna with Infant John,oil painting (AAT 300178684),"Bassano, Jacopo (Italian, 1510-1592)",ULAN,16th century,77 x 88 cm (29 1/2 x 33 1/2 inches),"Collection of Archibald Werner, Edenbridge (Kent, England)",TGN,"Coll: Earl of Carlisle. Edenbridge (Kent), Archibald Werner. Sotheby Sale, March 27, 1968 lot 27.                                                                                 Exh.: The New Gallery, 1894-5. Agnew's, June 1953 (no 2)                                                                                                                                               Authorities: Sotheby's (International auction house, founded 1744 in London), http://vocab.getty.edu/page/ulan/500304344.                                    Edenbridge (inhabited place), http://vocab.getty.edu/page/tgn/7011515.                                                                                                                  New Gallery (British repository, London, contemporary),  http://vocab.getty.edu/page/ulan/500301909.                                                                 Thomas Agnew and Sons Ltd. (English firm of art dealers and publishers, active from 1835), http://vocab.getty.edu/page/ulan/500302011.","Boll'd'Arte, VIII. 1929 (2). pp. 407-413. Arslan. fig. 27. I. p. 167. Exh: Venice, 1957 n. 52","John, the Baptist, Saint--Art; Jesus Christ--Art; Mary, Blessed Virgin, Saint--Art; Christian Art and Symbolism",LCSH,"The Virgin Mary, seated, wearing a scarf over her hair, and a long-sleeved gown, holds the baby Jesus in her right arm, while putting her left arm around young St. John , who is looking up at her and holding a long-stemmed cross in his left hand. Both baby Jesus and Mary are looking down at St. John. The background includes shiny draped fabric and a columns, one in back inscribed with the artist's signature.",https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0013.html; https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0018.html,compound_object,,,,
w_0016,,Astronomy,oil painting (AAT 300178684),"Tintoretto, Jacopo (Venetian, 1519-1594)",ULAN,16th century,"24.12 "" x 30 "" (cm 61.26 cm x 76.2)","Cook Collection, Richmond (Surrey, United Kingdom)",TGN,"Coll: Cook Collection, Richmond (Surrey), Fred Mond, New York. Sold to a German Collector.",,"Astronomy in art; Astronomy; Italian Renaissance-Baroque styles; Art, Renaissance",AAT; LCSH,"The seated figure of a woman holds an armillary sphere aloft in her right hand. She is set against the night sky. A celestial globe sits in the right of the frame. She is set in repose, her left hand clutches fabric.",https://info663-fa24.github.io/team1/items/w_0002.html,compound_object,,,,
w_0017,,Portrait Of Old Woman,oil painting (AAT 300178684),"Bassano, Jacopo (Italian, 1510-1592)",ULAN,16th century,"46.5 "" x 38.75 "" (cm 118 x 98.5)","New York, United States of America",TGN,"Watney coll., Cornbury Park Christie sale, June 23, 1967 lot 37 "" July 11, 1975 lot 182 Sotheby Sale, New York, June 11, 1981 lot 122",,"Portrait painting, Italian; Portraits; Italian Renaissance-Baroque styles; Art, Renaissance",AAT; LCSH,"A figure of an elderly woman sits in an ornate high-backed chair. A shawl is draped over her shoulders. Her right hand rests on her lap, holding a small book or box, while her left hand relaxes on the armrest of the chair.",https://info663-fa24.github.io/team1/items/w_0005.html; https://info663-fa24.github.io/team1/items/w_0009.html; https://info663-fa24.github.io/team1/items/w_0010.html; https://info663-fa24.github.io/team1/items/w_0004.html,compound_object,,,,
w_0018,,Resurrection,oil painting (AAT 300178684),"Tintoretto, Jacopo (Venetian, 1519-1594)",ULAN,16th century,"75 "" x 57.5 "" (cm 190 x 144.5)","New York, United States of America",TGN,"Da Mula, 1861 William Graham, 1886 Charles Butler, 1911, M. von Nemes, Dr. Alsberg, Berlin, Sotheby sale April 19, 1967 - lot 39             
Authorities: Sotheby's (International auction house, founded 1744 in London), http://vocab.getty.edu/page/ulan/500304344.",,"Christ, Resurrection; Jesus Christ--Art; Italian Renaissance-Baroque styles; Christian Art and Symbolism",AAT; LCSH,"A Christ figure stands at the edge of a tomb. He is partially draped in a cloth and holds a flag in one hand while raising the other arm. Three mens surround him, depicted in various states of sleep or rest. The background features a landscape with trees and a cloudy sky.",https://info663-fa24.github.io/team1/items/w_0020.html; https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0013.html,compound_object,,,,
w_0019,,Rest On Flight,oil painting (AAT 300178684),"Bassano, Jacopo (Italian, 1510-1592)",ULAN,16th century,"44.25 "" x 61 "" (cm 120 x 155)","Castle Leslie (Monaghan, Ireland)",TGN,"Acquired in Florence c. 1871 by Sir John Leslie Desmond Leslie, Castle Leslie, Co. Monaghan, Eire Sotheby's Sale, Dec. 12, 1973 lot 84",,"Biblical; Renaissance ; Italian Renaissance-Baroque styles; Art, Renaissance",AAT; LCSH,"This artwork depicts a classical scene with several figures gathered around a central figure holding a baby. The setting appears to be outdoors, with a tree and some animals, including a donkey and a sheep, present in the background. The figures are dressed in historical or biblical attire, suggesting a scene from a religious or historical narrative. The central figure, likely a mother, is seated and holding the baby, while the other figures are positioned around her, some kneeling and others standing.",N/A,compound_object,,,,
w_0020,,Madonna and Child,oil painting (AAT 300178684),"Bassano, Jacopo (Italian, 1510-1592)",ULAN,ca. 1550,,"Milan, Italy",TGN,"Canessa, Milano (1954) already sold with München altarpiece Jacopo Bassano",,"Mary, Blessed Virgin, Saint--Art; Jesus Christ--Art; Italian Renaissance-Baroque styles; Christian Art and Symbolism",AAT; LCSH,"The central figure of a woman holds an infant Christ figure. Another child is also present, holding a staff with a cross. A lamb reposes in the foreground. The figures are draped in flowing garments, the dark background provides contrast.",https://info663-fa24.github.io/team1/items/w_0012.html; https://info663-fa24.github.io/team1/items/w_0013.html; https://info663-fa24.github.io/team1/items/w_0014.html; https://info663-fa24.github.io/team1/items/w_0015.html; https://info663-fa24.github.io/team1/items/w_0011.html; https://info663-fa24.github.io/team1/items/w_0018.html,compound_object,,,,
i_0001,w_0001,"Image of ""Venus + Adonis""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109689_1_45942299.jpg,/objects/small/109689_1_45942299_sm.jpg,/objects/thumbs/109689_1_45942299_th.jpg,"Black-and-white photograph of a painting depicting Venus and Adonis embracing, with a cherub holding Venus' dress and three hounds around them."
i_0001a,w_0001,,,,,,,,,,,,,,,image,/objects/109689_2_45942300.jpg,/objects/small/109689_2_45942300_sm.jpg,/objects/thumbs/109689_2_45942300_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0002,w_0002,"Image of ""The Astronomer""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped A.C. Cooper [1873-1960], London, England;

Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109707_1_45942331.jpg,/objects/small/109707_1_45942331_sm.jpg,/objects/thumbs/109707_1_45942331_th.jpg,"Black-and-white photograph of a painting of an astronomer wearing a turban, holding an instrument to his ear."
i_0002a,w_0002,,,,,,,,,,,,,,,image,/objects/109707_2_45942332.jpg,/objects/small/109707_2_45942332_sm.jpg,/objects/thumbs/109707_2_45942332_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0003,w_0003,"Image of ""Shepherd + Nymph""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109832_1_45942538.jpg,/objects/small/109832_1_45942538_sm.jpg,/objects/thumbs/109832_1_45942538_th.jpg,"Black-and-white photograph of a painting of a nymph and shepherd resting under a fig tree, unaware of a descending cupid."
i_0003a,w_0003,,,,,,,,,,,,,,,image,/objects/109832_2_45942539.jpg,/objects/small/109832_2_45942539_sm.jpg,/objects/thumbs/109832_2_45942539_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0004,w_0004,"Image of ""Courtesan""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped Christies [1763-], London, England.

Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109833_1_45942540.jpg,/objects/small/109833_1_45942540_sm.jpg,/objects/thumbs/109833_1_45942540_th.jpg,"Black-and-white photograph of a painting showing a 3/4 portrait of a woman with loose hair and dress, set against columns and a window, looking to the right."
i_0004a,w_0004,,,,,,,,,,,,,,,image,/objects/109833_2_45942541.jpg,/objects/small/109833_2_45942541_sm.jpg,/objects/thumbs/109833_2_45942541_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0005,w_0005,"Image of ""3/4 Length portrait of fair haired woman holding elaborate mirror""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped A.C. Cooper [1873-1960], London, England;

Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109842_1_45942556.jpg,/objects/small/109842_1_45942556_sm.jpg,/objects/thumbs/109842_1_45942556_th.jpg,"Black-and-white photograph of a painting of a 3/4 portrait of a woman with ornate hair and jewelry, holding an object and looking to the left."
i_0005a,w_0005,,,,,,,,,,,,,,,image,/objects/109842_2_45942557.jpg,/objects/small/109842_2_45942557_sm.jpg,/objects/thumbs/109842_2_45942557_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0006,w_0006,"Image of ""Portrait of a Venetian General""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/109644_1_45942227.jpg,/objects/small/109644_1_45942227_sm.jpg,/objects/thumbs/109644_1_45942227_th.jpg,"Black-and-white photograph of a painting of a general in armor holding a sword, resting an arm on a helmet."
i_0006a,w_0006,,,,,,,,,,,,,,,image,/objects/109644_2_45942228.jpg,/objects/small/109644_2_45942228_sm.jpg,/objects/thumbs/109644_2_45942228_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0007,w_0007,"Image of ""Poet Between Vice & Virtue""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/109659_1_45942255.jpg,/objects/small/109659_1_45942255_sm.jpg,/objects/thumbs/109659_1_45942255_th.jpg,"Black-and-white photograph of a painting of two women pulling a man in a tug of war, with Hellenic statues behind them."
i_0007a,w_0007,,,,,,,,,,,,,,,image,/objects/109659_2_45942256.jpg,/objects/small/109659_2_45942256_sm.jpg,/objects/thumbs/109659_2_45942256_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0008,w_0008,"Image of ""Resurrection""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/402186_1_420721188.jpg,/objects/small/402186_1_420721188_sm.jpg,/objects/thumbs/402186_1_420721188_th.jpg,"Black-and-white photograph of a painting of a resurrection scene with an angel ascending, and onlookers in the foreground."
i_0008a,w_0008,,,,,,,,,,,,,,,image,/objects/402186_2_420721196.jpg,/objects/small/402186_2_420721196_sm.jpg,/objects/thumbs/402186_2_420721196_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0009,w_0009,"Image of ""Venetian Senator (Marco Zani)""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/110844_1_45950853.jpg,/objects/small/110844_1_45950853_sm.jpg,/objects/thumbs/110844_1_45950853_th.jpg,"Black-and-white photograph of a painting of a 3/4 portrait of a bearded man in a fur-lined robe, with clenched hands and a raised eyebrow."
i_0009a,w_0009,,,,,,,,,,,,,,,image,/objects/110844_2_45950854.jpg,/objects/small/110844_2_45950854_sm.jpg,/objects/thumbs/110844_2_45950854_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0010,w_0010,"Image of ""Portrait of Catalina Vanano""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/402056_1_420720056.jpg,/objects/small/402056_1_420720056_sm.jpg,/objects/thumbs/402056_1_420720056_th.jpg,"Black-and-white photograph of a painting of a woman in a gown and veil, holding a ribbon with script and looking over her shoulder."
i_0010a,w_0010,,,,,,,,,,,,,,,image,/objects/402056_2_420720060.jpg,/objects/small/402056_2_420720060_sm.jpg,/objects/thumbs/402056_2_420720060_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0011,w_0011,"Image of ""Rest in Flight""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano    Inscribed Cooper 702308",,,,,,image,/objects/109880_1_45942626.jpg,/objects/small/109880_1_45942626_sm.jpg,/objects/thumbs/109880_1_45942626_th.jpg,"Black-and-white photograph of a painting of a group of figures in a garden, with a central figure holding a baby and cherubs handing fruit to them."
i_0011a,w_0011,,,,,,,,,,,,,,,image,/objects/109880_2_45942627.jpg,/objects/small/109880_2_45942627_sm.jpg,/objects/thumbs/109880_2_45942627_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0012,w_0012,"Image of ""Rest on Flight""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,"Stamped Fotoeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/109881_1_45942656.jpg,/objects/small/109881_1_45942656_sm.jpg,/objects/thumbs/109881_1_45942656_th.jpg,"Black-and-white photograph of a painting of a man, woman, and baby, with the child reaching for the man’s beard, suggesting the Holy Family."
i_0012a,w_0012,,,,,,,,,,,,,,,image,/objects/109881_2_45942657.jpg,/objects/small/109881_2_45942657_sm.jpg,/objects/thumbs/109881_2_45942657_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
